"songID","title","artist","album"
"TRAADLH12903CA70EE","Burning In The Aftermath","The Suicide Machines","A Match & Some Gasoline"
"TRAADLN128F14832E9","Angie (1993 Digital Remaster)","The Rolling Stones","Jump Back - The Best Of The Rolling Stones_ '71-'93"
"TRAADLR12903CF8D7E","Sabor Guajiro","Roberto Torres","Lo Mejor con La Orq. Broadway"
"TRAADLX128F1469250","Human Cannonball","Loudon Wainwright III","Grown Man"
"TRAADMH128F9343E59","Glory Be","R.L. Burnside","A Bothered Mind"
"TRAADNA128F9331246","Crossfire","Stevie Ray Vaughan","Greatest Hits"
"TRAADOF12903CAA1C1","I Can't Be Satisfied","John Hammond","Bluesman"
"TRAADQX128F422B4CF","Nashville Parthenon","Casiotone For The Painfully Alone","Etiquette"
"TRAADRN128F932D607","Cocain Ducks","Ec8or","Ec8or"
"TRAADVH128EF34DE7A","Human Being","The New York Dolls","Too Much Too Soon"
"TRAADYB128F92D7E73","The More I See You","Eliane Elias","Bossa Nova Stories"
"TRAADYI128E078FB38","Certain Things We Do","Lost Boyz","Love_ Peace & Nappiness"
"TRAAEAM128F934B199","Forming","The Germs","Germicide"
"TRAAEDJ12903CCE390","Mafuá","Yamandu Costa","Mafuá"
"TRAAEEH128E0795DFE","Driving Home For Christmas","Chris Rea","The Road To Hell Part 2"
"TRAAELO128F9302DD1","Spooks In Space","Perrey And Kingsley","Vanguard Visionaries"
"TRAAEMJ128F425A917","Tous Les Garçons Et Les Filles","Eurythmics","Be Yourself Tonight"
"TRAAENC128F1451DE9","Too Much Saturn","Francis Dunnery","Hometown 2001"
"TRAAENP128F147BF32","Movement 4 [from Kiss] (Album Version)","John Cale","Eat / Kiss: Music For The Films By Andy Warhol"
"TRAAEOU128F9309DE0","Stream","Suzanne Ciani","The Ultimate Most Relaxing New Age Piano in the Universe"
"TRAAERU128F930674F","Make Me Over","Vickie Winans","Classic Gold: Best of All"
"TRAAEUB12903CDD3EA","Deform (live)","The Berzerker","The Berzerker"
"TRAAEWG128F930B3A4","Wicker Chair","Kings Of Leon","Holy Roller Novocaine"
"TRAAEXM128F92D47C8","An ti chans'","Edith Lefel","Jeux de dames_ vol. 1 (réalisation Ronald Rubinel)"
"TRAAFEB128F92F8694","I Will Love Again (JJ's Club Radio)","Taras","I Will Love Again"
"TRAAFJW128F428A424","Stickin In My Eye","NOFX","White Trash ......"
"TRAAFKJ12903D02552","Ota kiinni","Murskahumppa","Murskapunkkia"
"TRAAFMS128F933AB23","Entre Caníbales","Soda Stereo","Canción Animal"
"TRAAFON128F42926FB","Rosemary Recalls","Bruce Rowland","The Man from Snowy River"
"TRAAFRU128F9339158","Sudanese Dance","Xcultures","One World One People"
"TRAAFSM128F425A2C5","Where The Thunder Roars (Tales Of Wonder Album Version)","White Heart","Tales Of Wonder"
"TRAAFUJ128F933F42B","Wanna Be A Player","Heavy D / McGruff","Waterbed Hev"
"TRAAFYL128E07856A7","Panama (Remastered Album Version)","Van Halen","The Best Of Both Worlds"
"TRAAGCZ128F93210FD","Let's Get It Started","Black Eyed Peas","Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness"
"TRAAGEC128E079252C","Metal","Nine Inch Nails","Things Falling Apart"
"TRAAGGE128F9325E2C","She Fell Away (2009 Digital Remaster)","Nick Cave & The Bad Seeds","Your Funeral... My Trial (2009 Digital Remaster)"
"TRAAGHM128EF35CF8E","Next Time","Nadine Renee","Oasis of Love"
"TRAAGJV128F1464090","It's My Party","Lesley Gore","60's Triple set"
"TRAAGKF128F932D5A2","Complicate It","Smartbomb","Yeah.  Well_ Anyway...."
"TRAAGKQ128F92EAF39","Monde De Fou","Suburbs","Un Titre de Toune"
"TRAAGKS128F9314884","Opus a Satana (Part 2)","Emperor","Live Inferno"
"TRAAGMJ12903CAD7D4","This Melody (Live)","Julien Clerc","Vendredi 13 - 1981"
"TRAAGNL128F4299BF1","I'm Gone This Time","Glen Campbell","Unconditional Love"
"TRAAGOH128F42593CE","You Feel Good All Over","T.G. Sheppard","The Very Best Of"
"TRAAGPF12903CE027E","Indian Love Call","Slim Whitman","Country Lovers. Vol. 3"
"TRAAGPH128F4273C8D","You Can Still Be Free","Savage Garden","Affirmation"
"TRAAGPJ128F428CD1B","I Never Came","Queens Of The Stone Age","Lullabies To Paralyze"
"TRAAGUA128F93236E8","Dixie","Hank Penny & The Lincoln Penny Orchestra","It's War Again"
"TRAAGVF128E0789785","Commercial Reign","Inspiral Carpets","The Singles"
"TRAAGVM128E0784D95","Hourglass","Borialis","What You Thought You Heard"
"TRAAGXN128F92DE52C","Wake","The Dirty Skirts","Daddy Don't Disco"
"TRAAGZU128EF360F47","Caricia Y Herida","Flor Silvestre","15 Exitos Vol. 2 Flor Silvestre"
"TRAAHDH128F93094B6","Le tortillard","Bézu","Le top du père Nöel"
"TRAAHEG128E07861C3","WKYA (drop)","Redman","Malpractice"
"TRAAHEH128F427FCEF","Teräslintu","Solistiyhtye Suomi","20 Suosikkia / Rilluttele yö"
"TRAAHEQ128F93057B4","Now's The Time To Fall In Love","Eddie Cantor","The Fabulous Eddie Cantor"
"TRAAHER128F92E3FE9","Grim Prospects (Gross Prospects - Bad Trip Remix)","Schizoid","Grim Prospects Remixes - Grim Prospects Will Never End"
"TRAAHJX128F9312B83","Mangos","Kai Winding","The Incredible Kai Winding Trombones"
"TRAAHKE128F421389B","A Distant Voice","Sonny Simmons","Staying on the Watch"
"TRAAHMO128F92DE7C9","Openbare Weg","Mira","Openbare Weg"
"TRAAHPZ12903CB4643","President Johnson","Citizen Kaned","Tip World Singles 2000"
"TRAAHRF128F92FE234","Lead Me Lord","The Brooklyn Tabernacle Choir","Praise Him...Live!"
"TRAAHTH12903CCFFE1","Spontanous Combustion","Ellen McIlwaine","Spontanous Combustion"
"TRAAHVY128F92E25D6","Choro","Vince Guaraldi / Bola Sete","From All Sides"
"TRAAHXN128F9326097","Ma Louise","Maurice Chevalier","Maurice Chevalier  The Essential Collection Vol 1"
"TRAAHYV128F932A425","I Want You (Forever)","Carl Cox Vs Yousef","Dave Pearce Best of the Dance Years 1988 - 1992"
"TRAAHZP12903CA25F4","Hate","Organized Konfusion","The Equinox"
"TRAAIAE128F42AC53D","I Can't Stop Loving You","Martina McBride","Timeless"
"TRAAIAN12903CFF16D","Thank You Lord","Horace Andy","Feel Good All Over: Anthology 1970-1976"
"TRAAIAX128F930531B","How Can You Call That Beautiful (Stewkey Vocal)","Nazz","13th And Pine"
"TRAAIBB12903CECB35","Cheatin' In The Next Room","Tyrone Davis","Call Tyrone"
"TRAAIDY128F92CA454","Candy Man","Hot Tuna","Final Vinyl"
"TRAAIFG12903CB0BCB","I See The Boys Of Summer","Richard Burton","Fifteen Poems By Dylan Thomas"
"TRAAIGD12903CA2F3C","Three Is a Crowd","Rory Block","The Early Tapes 1975-1976"
"TRAAIHL128F92E6DDA","On Bended Knee","Boyz II Men","Legacy"
"TRAAIIE128F4288BB1","My Four Reasons","Howard Armstrong","Louie Bluie Film Soundtrack"
"TRAAIII128F427D5D8","Little Girl (LP Version)","Donny Hathaway","Donny Hathaway"
"TRAAILM128F93480BB","Eternamente Amame","Miguel Gallardo","Canciones De Amor De Miguel Gallardo"
"TRAAINT128F933BBE0","Niev nietch nievitch","Les Ogres De Barback","Irfan_ le héros"
"TRAAIRG128F93265E8","Come Over","DJ X-Change featuring DJ Joey A","What up Detroit"
"TRAAIXN128F428027A","Blue Taxi","Morel","Peterbilt Angel"
"TRAAIXU128F4241E5C","I Want Love (Tween You & Me) (Album Version)","Tony Joe White","Homemade Ice-Cream"
"TRAAIYR12903CD290D","White Feather","Wolfmother","White Feather"
"TRAAJAC128F148B530","Christlike Roche","The Roches","Can We Go Home Now"
"TRAAJBU128F9326C02","You Rascal You","Bob Margolin","In North Carolina"
"TRAAJBU12903CE2831","Sympathy","Thomas Battenstein","Wintertime"
"TRAAJEK128F422F55A","They Say (Album)","Jupiter Rising","Electropop"
"TRAAJEK12903CE351A","Simon's Folly","Dharma Bums","DUMB: 4-track cassette recordings (1987)"
"TRAAJJA12903CC518A","Crawl Before You Ball (Album Version)","Saafir","The Hit List"
"TRAAJJG128F4284B27","Medicate Myself","The Verve Pipe","Underneath"
"TRAAJJV128F42A2F99","Biding Her Time","Bob Neuwirth","99 Monkeys"
"TRAAJMH128E0785407","More And More  (LP Version)","Marvin Sapp","Nothing Else Matters"
"TRAAJNM12903CF4750","Cowboy Ways","James Hunter","A Tribute to The American Horse"
"TRAAJSX128F4275A1D","Brasas Vivas","Nelson Ned","Mis Momentos"
"TRAAJVJ128F42570AD","Kolomeyke","Mish Mash","Mish Mash_ Le Blues European: Musique Slave Et Klezmer"
"TRAAJXQ128F92E65BF","In This Life","Cama","In this Life"
"TRAAJYX128F4255568","Groovin' In The Midnight","Maxi Priest","Best Of Maxi Priest"
"TRAAKAS128F4246013","Waiting","Porcupine Tree","Signify (Special Edition)"
"TRAAKAV128F931BE25","A'chek Ouyounik (2009 Digital Remaster)","Ragheb Alama","Bravo Alayki Rare recording"
"TRAAKDF128F92FA302","Hell","Foo Fighters","In Your Honor"
"TRAAKDG128F42A0ECB","Hips Don't Lie (featuring Wyclef Jean)","Shakira Featuring Wyclef Jean","Essential R&B Hit Selection"
"TRAAKJJ128F4228346","Juoksuhauta-twist (Elämä juoksuhaudoissa)","The Avengers","20 Suosikkia / Rautalankaklassikot / Kolme kitaraa"
"TRAAKNS12903CC5198","I Got Over It (Album Version)","Robben Ford","Talk To Your Daughter"
"TRAAKQS128F4224DE1","One Less Bell To Answer","Brazilian Tropical Orchestra","American Songbook - Bacharach"
"TRAAKSB128F934D73A","Festa","Gil Semedo","Nha Vitória"
"TRAAKTK128F9343DCC","Te Hacen Falta Vitaminas","Soda Stereo","Gira Me Verás Volver"
"TRAAKVA128F934E69E","Sense And Trick","Xmilk","Scarcity"
"TRAAKVD12903CE8474","Fire (Oscar G Space Vocal Mix)","Dolce; Oscar G.","Fire"
"TRAAKVZ12903D074BB","Hanging On (Medium Key Performance Track Without Background Vocals)","Britt Nicole","Hanging On (Premiere Performance Plus Track)"
"TRAAKXN128F92E71B1","Grim Prospects (Version 2 Remix)","Schizoid","Grim Prospects Remixes - Prospects Are Getting Grimmer"
"TRAALCM128F4264370","Christmas In Jamaica","Toni Braxton Featuring Shaggy","Snowflakes"
"TRAALDU128F930D56B","Gossippo Perpetuo","Perrey And Kingsley","The Out Sound From Way In!"
"TRAALEO128F42A7AEA","2190 Dias Contigo","Sven Tasnadi","El Fuego De Dentro"
"TRAALHD12903D0BD6A","No Control","Eddie","No Control"
"TRAALNG12903D014E9","The Vitalized Shell","Enthroned","Pentagrammaton"
"TRAALRZ128F429024E","Mozart","Suzanne Ciani","Pianissimo"
"TRAALSV128F4282B9B","Ciao Milan","Milan Band","Milan Milan"
"TRAALUX12903CFD50B","Lend Me Your Chopper","Johnny Osbourne","Auralux Reggae Showcase"
"TRAALZC128F92E11A6","Letter To Heaven","Dolly Parton","Heaven"
"TRAALZN128F932D457","Heaven is Where The Heart Is","Rance Allen Group","Up Above My Head"
"TRAAMES128F42AF068","Inside Job","Pearl Jam","Pearl Jam"
"TRAAMFG128F92FDEA2","Take A Look  (LP Version)","Natalie Cole","Take A Look"
"TRAAMFT128F93128AD","The Czar: Usurper/Escape/Martyr/Spiral (Album Version)","Mastodon","Crack The Skye"
"TRAAMGJ12903CD315C","Bulgarian Dream","Kiril Valeri","Behind The Blue"
"TRAAMII128F933B583","Amalgama","Word","Matumago X Press"
"TRAAMJY128F92F5919","Born and Raised In Compton","DJ Quik","The Best of DJ Quik - Da Finale"
"TRAAMKI128F428537A","We're Gonna Go Fishin'","Hank Locklin","RCA Country Legends"
"TRAAMKL128F9347D8A","Robbers Kill Cop","BT","LOOK (Original Motion Picture Soundtrack)"
"TRAAMKP12903CC74F4","Relax","2-4 Grooves feat. Reki D.","Relax"
"TRAAMKW128F4249CF0","Sweet By And By","The Jordanaires","Joy In Our Hearts - The Gospel Side Of The Jordanaires"
"TRAAMPA128F92E7D0D","Orgofart","Descendents","Enjoy!"
"TRAAMSO128EF348DCC","Bitch Is Back","L.A. Guns","A Nite On The Strip - Live"
"TRAAMXP128F4264F6A","Naked Albino","Bare Jr.","Boo-Tay"
"TRAAMYQ128F148B753","Johnny Loves Me (LP Version)","Shelley Fabares","The Best Of Shelley Fabares [Digital Version]"
"TRAAMZB12903CAB002","Dearly Beloved","Norrie Paramor","In London_ In Love"
"TRAAMZR128F9315DCC","The Look Of Love","Gary Hobbs","Of My Times"
"TRAANBH128F9345A6C","Cooler Than You","Diesel Boy","Venus Envy"
"TRAANKK128F42531BC","Taryns Deepest Fear","Angelo Badalamenti","Freddy's Favorites: The Best of A Nightmare On Elm Street"
"TRAANLO128F422AE37","Summer Dying Fast","Cradle Of Filth","Bitter Suites to Succubi"
"TRAANLZ128F934EC42","Still","Jim Chappell","Manila Nights"
"TRAANMF12903CEAFEF","Snapshot","Ladybug","Snapshot"
"TRAANRI12903CD0A9C","End Of The Road (Head Hornys Remix)","Bandido","End Of The Road - Single"
"TRAANTD128F9323B23","7 Miles","Brixx","7 Miles"
"TRAANTZ128E0792529","The Frail","Nine Inch Nails","Things Falling Apart"
"TRAAODT12903D0D16E","Para Milladoiro","Susana Seivane","Os soños que volven"
"TRAAOEH128F426A82F","Stone Cold Fingers (Bonus Track)","Leland Martin","Leland Martin"
"TRAAOIN128F9303790","Snowball","Test Icicles","For Screening Purposes Only"
"TRAAOJI128F1458DCD","(We Don't Need This) Fascist Groove Thang","Heaven 17","Endless"
"TRAAOPW128F428AE31","Drunk Alone","React","That Which Does Not Kill You...Can Only Make You Stronger : Three Way Split"
"TRAAORY128F934984F","Charisma","Sven Tasnadi","Break The Night"
"TRAAOTD128F42322FC","Going Down Slow","Mance Lipscomb","Texas Songster"
"TRAAOTT128F14AE002","All Rise","Scott Wesley Brown","The Scott Wesley Brown Collection: A Library of 35 Favorite Songs"
"TRAAOTT128F9342E04","Jogo Limpo","Flávio José","Seu Olhar Não Mente"
"TRAAOXM12903CFB3B0","Silent Hill","Moss","Never Be Scared / Don't Be A Hero"
"TRAAOYG128F9314996","Our Love Is Here To Stay","Pery Ribeiro","S'Wonderful Movie'n Bossa"
"TRAAPCC128F42519A7","Everything Changes","Soular","Time and Space"
"TRAAPFQ128F42684DB","Master Of Disharmony","Dimmu Borgir","Death ... Is just the beginning Vol.4"
"TRAAPGF128F1458F8B","(This Is Not A) Love Song (Live)","Public Image Ltd","Live In Tokyo"
"TRAAPIV128F1493132","What Are We Here For","Gary Moore","Dark Days In Paradise"
"TRAAPLS12903CB2D40","Une petite pause","Pascal Sangla","Une petite pause"
"TRAAPPQ128F14961F5","Wig","The B-52's","The B52's"
"TRAAPQQ128F427C750","Perasmena Mesanihta","Dakis","Moments"
"TRAAPSQ12903CAE86A","God Save the Queen (Live)","Sex Pistols","Punk International"
"TRAAPVV128F425D64C","Forever","Chris Brown","Forever"
"TRAAPWD128F931ACD4","Sun Is Shining","Deekline & Wizard","Breaks_ Beats & Blondes"
"TRAAPXK128F934DF25","New Age","Daniela Dessì","Reiki - Spiritual Fitness_ Relaxation and Chakra Meditation"
"TRAAQBF12903CF796B","Have Yourself A Merry Little Christmas","Hem","Peace At Last - EP"
"TRAAQCK128F92E8C33","U Killed It","Lily Allen","Alright_ Still (Deluxe)"
"TRAAQDJ128F92F95E0","Rain And Snow","Pentangle","Light Flight - The Anthology"
"TRAAQDL12903CA8FB5","Gerra De De","DJ Dips","This DJ"
"TRAAQEV12903CB5459","Kako mi je pitas sad","Ana Bekuta","Zlatni hitovi '90 1"
"TRAAQFC128F425ED83","Voices On The Corner","Jason Miles","Miles To Miles"
"TRAAQIH128F428BDEA","(Bloody Paw On The) Kill Floor","Busdriver","RoadKillOvercoat"
"TRAAQLE128F424AE71","I Wish My Mother Was Here","Byther Smith","Addressing The Nation With The Blues"
"TRAAQLJ128F428E870","Inolvidable","Bebo & Cigala","Lagrimas Negras"
"TRAAQOH128F4265CE6","Miracle","Bizarre Inc","Surprise"
"TRAAQPS128F429161D","Witch Weed (Live)","Bongzilla","Apogee"
"TRAAQUC128F9322A82","Not Buried Deep Enough","The Gone Jackals","Bone To Pick"
"TRAAQUF12903CDF4A4","Give Me 40 Acres (To Turn This Rig Around)","The Willis Brothers","Strictly Trucking"
"TRAAQWF128F92D1AAD","Ernesto Nazareth","Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd","Music Of The Brazilian Masters"
"TRAAQYN128F92ED77E","The Cube (Live)","S.U.P","To Live Alone"
"TRAAQYU12903CE68CE","Get Back Down","Boogie Pimps","PeeBoy EP"
"TRAAQZF12903CEDCB8","Battle Of The Rosebud / Cries","Brian Keane","The Way West"
"TRAAQZQ128EF35C51A","Beyond the Light","Aberdeen","Suburban"
"TRAARHS128F931689D","Spaceman","The Killers","Hitzone 49"
"TRAARRG12903CDB456","Pulecenella 'e mò","Gloriana","Il meglio di Gloriana"
"TRAARSF12903CD1B12","Iskorosten' (instr.)","Butterfly Temple","Za Solntsem Vsled"
"TRAARUN128F932B1A0","Big Stax/High Volts (Album Version)","Grant Geissman","Time Will Tell"
"TRAASDM12903CD474E","It Goes On","20/20","4 Day Tornado"
"TRAASEO128F9337C48","Pecado De Amor","José Augusto","Ao Vivo"
"TRAASFP128F42980BD","Illuminate","Orbital","The Altogether"
"TRAASGM128EF34DBB0","Never Forget Me","Bone Thugs-N-Harmony / Akon","Strength & Loyalty"
"TRAASIG128F92C3A6B","Ukkosenjumalan poika","Moonsorrow","Kivenkantaja"
"TRAASKO128F427CE1C","A B***** Is A B***** (Edited)","N.W.A.","Straight Outta Compton"
"TRAASKQ128F4265E04","Kick Out The Jams","Rage Against The Machine","Live at the Grand Olympic Auditorium"
"TRAASOD128F428154C","Me And My Buddy","Jazz Gillum","Take One More Chance With Me"
"TRAASQC128F93480F0","Amber Changing","Rise Against","Revolutions Per Minute"
"TRAASSO12903CDD2FF","Murder Academy","Ultraviolence","Psycho Drama"
"TRAASUZ128F9314950","Hey Daddy","Korn","Issues"
"TRAASYO128F4263883","4 Sea Interludes Op. 33a: Storm","Sir Neville Marriner","Britten: Orchestral Works"
"TRAASZE128F93499AE","I Need You Now","Agnes","I Need You Now"
"TRAATBN128F14ACE82","Atmosphere Station","James Horner","Aliens - The Deluxe Edition"
"TRAATGM12903C9CD7C","Walk Away","Tantric","Mind Control"
"TRAATIU128F4291A84","Shadows That Move","Mastodon","Call of the Mastodon"
"TRAATJK128F9339179","Smile","Xcultures","One World One People"
"TRAATLC12903D0172B","Mountains Of Mourne","The Irish Tenors","Live From Dublin"
"TRAATMY128F149562F","Kite Live from Sydney","U2","Window In The Skies"
"TRAATMY128F9334DAC","Loco (Crazy)","Little Joe","Nuestra Tradición"
"TRAATNJ128F42631BA","Ever Be","Korn","Untitled"
"TRAATNN128F92FD35F","Oh Look Misery","Blind Blake & The Royal Victoria Hotel Calypsos","Bahamian Songs"
"TRAATOA12903CAD615","Yesterdays","Percy Faith","A Jerome Kern Songbook"
"TRAATPA128F146753C","Teacher's Pet","Extreme","Extreme"
"TRAATQC128F425AF61","Palmer enquête","Alexandre Desplat","L'enquête corse - bof"
"TRAATWQ12903CC5BA8","Go To Hell","Prozak","Tales From The Sick"
"TRAATXO128F92D97A6","Moon River - Original","Jerry Butler","Jerry Butler Selected Hits Vol. 4"
"TRAATZQ128F425E5F1","La Plus Bath Des Javas","Yvette Horner","L'essentiel 2003"
"TRAAUDN128F933F20D","Infidel","Delta 9","No Regrets"
"TRAAUEO128E0780CB9","English Summer Rain","Placebo","Sleeping With Ghosts"
"TRAAUGD128F42734DA","Spanish Shuffle (Album Version)","Tam Tam Go!","Miscelanea"
"TRAAUGZ128F9307F78","Intro","Gertrudis","500"
"TRAAUIH128F4254C9D","Empress So Divine","Warrior King","Virtuous Woman"
"TRAAUKK128F933A680","Terapia De Amor Intensiva","Soda Stereo","De Musica Ligera"
"TRAAUMJ128F933BDB6","Haunting","LORE","My Soul Speaks"
"TRAAUMN128F4273561","Lies Of Hate","Soul Asylum","Candy From A Stranger"
"TRAAUMZ12903CA97DC","The First Noel","Carl Doy with NZSO","Music For Christmas Lovers"
"TRAAUSW128F426646E","Musical Episode","Horace Andy","Exclusively"
"TRAAUWD128F930DD4E","Beautiful Brown eyes","Jimmy Wakely","Country Masters Vol 1"
"TRAAUZI12903CAFD53","Drop the Bass","The Nightraver & The Magican","Ultimate Happy Hardcore 3"
"TRAAUZX128F92F3D53","The Last Word (Amended Version)","Rah Digga (Featuring Outsidaz)","Dirty Harriet"
"TRAAVAH128F4284D7C","Hard Times","RUN-DMC","Run DMC"
"TRAAVDZ128F148C948","Just As Much As Ever","Bert Kaempfert And His Orchestra","Love That Bert Kaempfert"
"TRAAVGB12903CFAA99","Filipino Baby","Hank Locklin","Please Help Me I'm Fallin'"
"TRAAVIH12903CFAC90","The Boss","Lady May","Pink Chokolate!"
"TRAAVIT128F92E657C","Escapist","Nightwish","Made In Hong Kong (And In Various Other Places)"
"TRAAVJL128F14ACADD","Jeffrey's Dark Side","Angelo Badalamenti","Blue Velvet"
"TRAAVKY12903CBBB93","Someone to Watch Over Me","Frank Chacksfield","Windsor Strings"
"TRAAVNN128F428A85D","Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente","Cesar Camargo Mariano/Helio Delmiro","Samambaia"
"TRAAVOK12903CC4773","Pinned To The Ground (album version)","Buzzhorn","Disconnected"
"TRAAVOU128F422F292","Always And Never (Album Version)","Silverstein","Discovering The Waterfront"
"TRAAVRJ128F92FF90A","Myth Takes","!!!","Myth Takes"
"TRAAWAD128F92FA59F","Carpe PM","The Secret Life of Teenage Girls","The Last Living American Marxists"
"TRAAWDK128F92E2A17","Who Shot Ya (Amended Album Version)","The Notorious B.I.G.","Greatest Hits"
"TRAAWGY128F4298A09","Poor Tom (Album Version)","Led Zeppelin","Coda"
"TRAAWOR128F92DF3C8","Wounded Hearts","Sandi Thom","The Pink & The Lily"
"TRAAWQD12903CAA968","Love's Been Good To Me","Carl Belew","20 Greatest Hits"
"TRAAWUH128F427F12C","When Morning Comes To Town","The Field Mice","Coastal"
"TRAAWUM128F426009A","Estate","Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas","Once More"
"TRAAWVQ128F9313D31","Freedom Enough (From Silent Mother Nature)","Catherine Howe","Harry / Silent Mother Nature"
"TRAAXCM128F427F97B","Hai Shava","Malkit Singh","Hai Shava"
"TRAAXEJ12903CA7253","Nutty Block","Rodney O & Joe Cooley","Get Ready To Roll"
"TRAAXIR128F92D1938","Until You Love Someone","Dean Martin","Love From&The Rat Pack"
"TRAAXKI128F92DAC1B","Part One From Triomusic","Strata","STRATA"
"TRAAXMC128F14A53EA","Hello Young Lovers (LP Version)","James Darren","Love Among The Young"
"TRAAXMX128F9307699","Same Man","Till West & DJ Delicious","Ministry of Sound Presents 100"
"TRAAXPA128F92FC706","Quiero Ir Ao Mar","Carlos Nuñez","Cinema Do Mar"
"TRAAXTY128F42725BC","The Owl and the Pussy-cat","Igor Stravinsky","Essential Igor Stravinsky"
"TRAAXUY128F426BA55","Set You Free This Time","Gene Clark","Echoes"
"TRAAYCQ128F425EE32","Bloco Da Solidao (1996 Digital Remaster)","Maysa","Talento"
"TRAAYGH128F92ECD16","Will You Love Me Tomorrow","The Shirelles","Dreamboats & Petticoats 2"
"TRAAYNQ128EF35922B","Stille nacht_ heilige nacht","The American Boychoir","Voices of Angles - Christmas Favorites from the American Boychoir"
"TRAAYPG128F933C941","Nine Ways","JDS","Cream Trance Anthems Ibiza 2009"
"TRAAYPN128F9340DDF","Northern Downpour (Album Version)","Panic At The Disco","Northern Downpour"
"TRAAYRA128F92E9CC7","Bad Seed","Jan Howard","Love Is A Sometimes Thing"
"TRAAYTI128F933663B","Exchange","Abraham Laboriel","Guidum"
"TRAAYVL128F1473727","Marie D'Aquitaine","Michèle Arnaud","Disque Pathé"
"TRAAZBD128F427A97D","Oh My God","Sticky Fingaz","Oh My God"
